H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f2998fffffff,N5,Corridors_2022_within_1.0km,7,Shrubland,"(np.float64(37.74455455540698), np.float64(22.465612237208717))",13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",0.7431716779994824
863f2998fffffff,N5,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.75218383938513), np.float64(22.52546839757241))",5,Grassland,"(np.float64(37.75111306268644), np.float64(22.527615703773797))",0.22346257523228294
863f2998fffffff,N5,Corridors_2022_within_1.0km,13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",17,Shrubland,"(np.float64(37.73424832968211), np.float64(22.461586038081112))",0.5201971190696673
863f2998fffffff,N5,Corridors_2022_within_1.0km,21,Shrubland,"(np.float64(37.72407595104458), np.float64(22.497553416954364))",24,Shrubland,"(np.float64(37.72074006979098), np.float64(22.491648324900545))",0.6388427829851403
863f2998fffffff,N5,Corridors_2022_within_1.0km,22,Grassland,"(np.float64(37.72407595104458), np.float64(22.499163896605406))",23,Shrubland,"(np.float64(37.72380825686991), np.float64(22.498358656779885))",0.07695736942320558
863f2998fffffff,N5,Corridors_2022_within_1.0km,15,Closed DC broadleaf,"(np.float64(37.73638988307949), np.float64(22.46534382393354))",17,Shrubland,"(np.float64(37.73424832968211), np.float64(22.461586038081112))",0.4076976035426998
863f2998fffffff,N5,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.72380825686991), np.float64(22.498358656779885))",24,Shrubland,"(np.float64(37.72074006979098), np.float64(22.491648324900545))",0.682612772283729
863f2998fffffff,N5,Corridors_2022_within_1.0km,9,Shrubland,"(np.float64(37.743349931620955), np.float64(22.47186833123776))",13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",0.8376786285493716
863f2998fffffff,N5,Corridors_2022_within_1.0km,12,Shrubland,"(np.float64(37.73799604812752), np.float64(22.462391277906633))",15,Closed DC broadleaf,"(np.float64(37.73638988307949), np.float64(22.46534382393354))",0.31545459062253217
863f2998fffffff,N5,Corridors_2022_within_1.0km,11,Closed EV needleleaf,"(np.float64(37.73929801524979), np.float64(22.463403927990242))",13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",0.2337388311314195
863f2998fffffff,N5,Corridors_2022_within_1.0km,20,Grassland,"(np.float64(37.72541442191794), np.float64(22.504666368746463))",22,Grassland,"(np.float64(37.72407595104458), np.float64(22.499163896605406))",0.5073344715902962
863f2998fffffff,N5,Corridors_2022_within_1.0km,2,Grassland,"(np.float64(37.75753772287857), np.float64(22.524394744471714))",4,Shrubland,"(np.float64(37.75218383938513), np.float64(22.52546839757241))",0.6017225376933012
863f2998fffffff,N5,Corridors_2022_within_1.0km,11,Closed EV needleleaf,"(np.float64(37.73929801524979), np.float64(22.463403927990242))",16,Shrubland,"(np.float64(37.73478371803146), np.float64(22.461586038081112))",0.5260475542397859
863f2998fffffff,N5,Corridors_2022_within_1.0km,7,Shrubland,"(np.float64(37.74455455540698), np.float64(22.465612237208717))",12,Shrubland,"(np.float64(37.73799604812752), np.float64(22.462391277906633))",0.7813400041282909
863f2998fffffff,N5,Corridors_2022_within_1.0km,7,Shrubland,"(np.float64(37.74455455540698), np.float64(22.465612237208717))",9,Shrubland,"(np.float64(37.743349931620955), np.float64(22.47186833123776))",0.5673719596338163
863f2998fffffff,N5,Corridors_2022_within_1.0km,7,Shrubland,"(np.float64(37.74455455540698), np.float64(22.465612237208717))",15,Closed DC broadleaf,"(np.float64(37.73638988307949), np.float64(22.46534382393354))",0.9065185788396819
863f2998fffffff,N5,Corridors_2022_within_1.0km,13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",16,Shrubland,"(np.float64(37.73478371803146), np.float64(22.461586038081112))",0.4758831634906713
863f2998fffffff,N5,Corridors_2022_within_1.0km,21,Shrubland,"(np.float64(37.72407595104458), np.float64(22.497553416954364))",23,Shrubland,"(np.float64(37.72380825686991), np.float64(22.498358656779885))",0.07695736942320558
863f2998fffffff,N5,Corridors_2022_within_1.0km,15,Closed DC broadleaf,"(np.float64(37.73638988307949), np.float64(22.46534382393354))",16,Shrubland,"(np.float64(37.73478371803146), np.float64(22.461586038081112))",0.376162793603394
863f2998fffffff,N5,Corridors_2022_within_1.0km,24,Shrubland,"(np.float64(37.72074006979098), np.float64(22.491648324900545))",25,Shrubland,"(np.float64(37.71979284424983), np.float64(22.49030625852468))",0.15828299425760348
863f2998fffffff,N5,Corridors_2022_within_1.0km,3,Grassland,"(np.float64(37.7524515335598), np.float64(22.52707887722345))",5,Grassland,"(np.float64(37.75111306268644), np.float64(22.527615703773797))",0.15591031047641418
