H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f29997ffffff,N3,Corridors_2022_within_1.0km,16,Shrubland,"(np.float64(37.7430415480922), np.float64(22.34499568740282))",22,Shrubland,"(np.float64(37.741367379180495), np.float64(22.340702773018602))",0.42153881971766566
863f29997ffffff,N3,Corridors_2022_within_1.0km,16,Shrubland,"(np.float64(37.7430415480922), np.float64(22.34499568740282))",31,Shrubland,"(np.float64(37.73915747621706), np.float64(22.34043446586959))",0.5894682621742359
863f29997ffffff,N3,Corridors_2022_within_1.0km,68,Shrubland,"(np.float64(37.70830812373748), np.float64(22.34429138113666))",69,Shrubland,"(np.float64(37.70888850229354), np.float64(22.34969106251056))",0.4804755351811752
863f29997ffffff,N3,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.68625373860737), np.float64(22.36290518959948))",105,Shrubland,"(np.float64(37.68360077276023), np.float64(22.355522000198466))",0.7147220371874106
863f29997ffffff,N3,Corridors_2022_within_1.0km,60,Shrubland,"(np.float64(37.71029480417937), np.float64(22.358142737704487))",65,Shrubland,"(np.float64(37.709424236345285), np.float64(22.3623014985142))",0.3792250544886842
863f29997ffffff,N3,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.74558628483798), np.float64(22.359484273449556))",27,Shrubland,"(np.float64(37.73996107729467), np.float64(22.3623014985142))",0.6719149364575874
863f29997ffffff,N3,Corridors_2022_within_1.0km,60,Shrubland,"(np.float64(37.71029480417937), np.float64(22.358142737704487))",74,Shrubland,"(np.float64(37.70701343311244), np.float64(22.36364303425927))",0.6065293078612846
863f29997ffffff,N3,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.74558628483798), np.float64(22.359484273449556))",36,Shrubland,"(np.float64(37.73808600811357), np.float64(22.36176488421617))",0.8563925599778556
863f29997ffffff,N3,Corridors_2022_within_1.0km,71,Shrubland,"(np.float64(37.708352768241795), np.float64(22.33788554795396))",83,Shrubland,"(np.float64(37.70299542772436), np.float64(22.33399509429326))",0.6864873455663844
863f29997ffffff,N3,Corridors_2022_within_1.0km,19,Shrubland,"(np.float64(37.74197007998871), np.float64(22.346337223147888))",45,Shrubland,"(np.float64(37.73406800272549), np.float64(22.34378830523226))",0.9053827907472156
863f29997ffffff,N3,Corridors_2022_within_1.0km,9,Shrubland,"(np.float64(37.74518448429917), np.float64(22.35680120195942))",10,Shrubland,"(np.float64(37.74505055078624), np.float64(22.358276891278994))",0.1309075224550501
863f29997ffffff,N3,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.73915747621706), np.float64(22.33734893365593))",42,Shrubland,"(np.float64(37.73500553731604), np.float64(22.33828800867748))",0.46820500735380566
863f29997ffffff,N3,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.704870496905464), np.float64(22.334397555016782))",91,Shrubland,"(np.float64(37.70004889043977), np.float64(22.334263401442275))",0.5352849689509029
863f29997ffffff,N3,Corridors_2022_within_1.0km,49,Shrubland,"(np.float64(37.72964819679861), np.float64(22.33158032995214))",55,Shrubland,"(np.float64(37.72790706113044), np.float64(22.330104640632563))",0.23295746876674336
863f29997ffffff,N3,Corridors_2022_within_1.0km,93,Shrubland,"(np.float64(37.688530608327284), np.float64(22.377460852433472))",98,Shrubland,"(np.float64(37.68692340617205), np.float64(22.372228863027704))",0.49475752065525785
863f29997ffffff,N3,Corridors_2022_within_1.0km,12,Shrubland,"(np.float64(37.744514816734494), np.float64(22.36176488421617))",24,Shrubland,"(np.float64(37.74049681134642), np.float64(22.362033191365185))",0.4465914448316313
863f29997ffffff,N3,Corridors_2022_within_1.0km,42,Shrubland,"(np.float64(37.73500553731604), np.float64(22.33828800867748))",43,Shrubland,"(np.float64(37.73433586975136), np.float64(22.341373540891137))",0.28195661398735816
863f29997ffffff,N3,Corridors_2022_within_1.0km,11,Shrubland,"(np.float64(37.74275920176763), np.float64(22.36001001043073))",37,Shrubland,"(np.float64(37.73771099427735), np.float64(22.36525287715335))",0.7262881203174352
863f29997ffffff,N3,Corridors_2022_within_1.0km,82,Grassland,"(np.float64(37.70281684970711), np.float64(22.330909562079604))",88,Shrubland,"(np.float64(37.70085249151739), np.float64(22.33158032995214))",0.2259077362071384
863f29997ffffff,N3,Corridors_2022_within_1.0km,3,Shrubland,"(np.float64(37.74565325159445), np.float64(22.360674886423304))",33,Shrubland,"(np.float64(37.73888960919118), np.float64(22.359081812726036))",0.7637259209092352
863f29997ffffff,N3,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.738621742165314), np.float64(22.33734893365593))",48,Shrubland,"(np.float64(37.732728667596135), np.float64(22.3327877121227))",0.7677707173487178
863f29997ffffff,N3,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.74612201888972), np.float64(22.36189903779068))",7,Shrubland,"(np.float64(37.74558628483798), np.float64(22.35478889834182))",0.629464900091341
863f29997ffffff,N3,Corridors_2022_within_1.0km,15,Shrubland,"(np.float64(37.743175481605135), np.float64(22.338422162251987))",16,Shrubland,"(np.float64(37.7430415480922), np.float64(22.34499568740282))",0.5795678171475094
863f29997ffffff,N3,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.74130041242403), np.float64(22.36310641996124))",29,Shrubland,"(np.float64(37.73955927675586), np.float64(22.360423348471105))",0.30540651290557935
863f29997ffffff,N3,Corridors_2022_within_1.0km,15,Shrubland,"(np.float64(37.743175481605135), np.float64(22.338422162251987))",25,Shrubland,"(np.float64(37.74022894432054), np.float64(22.336275705059876))",0.37781981530693937
863f29997ffffff,N3,Corridors_2022_within_1.0km,15,Shrubland,"(np.float64(37.743175481605135), np.float64(22.338422162251987))",34,Shrubland,"(np.float64(37.738621742165314), np.float64(22.33734893365593))",0.5142026795430177
863f29997ffffff,N3,Corridors_2022_within_1.0km,75,Shrubland,"(np.float64(37.705966316556754), np.float64(22.33634887973688))",85,Shrubland,"(np.float64(37.70272756069849), np.float64(22.334665862165796))",0.38890543107653075
863f29997ffffff,N3,Corridors_2022_within_1.0km,48,Shrubland,"(np.float64(37.732728667596135), np.float64(22.3327877121227))",49,Shrubland,"(np.float64(37.72964819679861), np.float64(22.33158032995214))",0.35808879695987145
863f29997ffffff,N3,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.68625373860737), np.float64(22.36290518959948))",100,Shrubland,"(np.float64(37.686387672120304), np.float64(22.353983976894778))",0.7870382971599668
863f29997ffffff,N3,Corridors_2022_within_1.0km,19,Shrubland,"(np.float64(37.74197007998871), np.float64(22.346337223147888))",22,Shrubland,"(np.float64(37.741367379180495), np.float64(22.340702773018602))",0.5011037172228912
863f29997ffffff,N3,Corridors_2022_within_1.0km,19,Shrubland,"(np.float64(37.74197007998871), np.float64(22.346337223147888))",31,Shrubland,"(np.float64(37.73915747621706), np.float64(22.34043446586959))",0.6067448666090801
863f29997ffffff,N3,Corridors_2022_within_1.0km,100,Shrubland,"(np.float64(37.686387672120304), np.float64(22.353983976894778))",105,Shrubland,"(np.float64(37.68360077276023), np.float64(22.355522000198466))",0.33776214930286397
863f29997ffffff,N3,Corridors_2022_within_1.0km,60,Shrubland,"(np.float64(37.71029480417937), np.float64(22.358142737704487))",69,Shrubland,"(np.float64(37.70888850229354), np.float64(22.34969106251056))",0.7614194185570005
863f29997ffffff,N3,Corridors_2022_within_1.0km,71,Shrubland,"(np.float64(37.708352768241795), np.float64(22.33788554795396))",78,Shrubland,"(np.float64(37.704870496905464), np.float64(22.334397555016782))",0.4939487356046658
863f29997ffffff,N3,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.704870496905464), np.float64(22.334397555016782))",86,Shrubland,"(np.float64(37.70228111565537), np.float64(22.3327877121227))",0.32054816731620267
863f29997ffffff,N3,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.708419734998266), np.float64(22.334978887172976))",82,Grassland,"(np.float64(37.70281684970711), np.float64(22.330909562079604))",0.7179761127794538
863f29997ffffff,N3,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.703129361237295), np.float64(22.335873244336355))",82,Grassland,"(np.float64(37.70281684970711), np.float64(22.330909562079604))",0.43909711461636186
863f29997ffffff,N3,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.73915747621706), np.float64(22.33734893365593))",46,Shrubland,"(np.float64(37.73326440164787), np.float64(22.334129247867768))",0.7129980422582088
863f29997ffffff,N3,Corridors_2022_within_1.0km,22,Shrubland,"(np.float64(37.741367379180495), np.float64(22.340702773018602))",42,Shrubland,"(np.float64(37.73500553731604), np.float64(22.33828800867748))",0.7374928794146202
863f29997ffffff,N3,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.708419734998266), np.float64(22.334978887172976))",91,Shrubland,"(np.float64(37.70004889043977), np.float64(22.334263401442275))",0.9312273752425829
863f29997ffffff,N3,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.703129361237295), np.float64(22.335873244336355))",91,Shrubland,"(np.float64(37.70004889043977), np.float64(22.334263401442275))",0.3702068867410967
863f29997ffffff,N3,Corridors_2022_within_1.0km,101,Shrubland,"(np.float64(37.686119805094435), np.float64(22.369277484388554))",106,Shrubland,"(np.float64(37.68397686888746), np.float64(22.362569805663213))",0.6376795766911777
863f29997ffffff,N3,Corridors_2022_within_1.0km,11,Shrubland,"(np.float64(37.74275920176763), np.float64(22.36001001043073))",23,Shrubland,"(np.float64(37.74130041242403), np.float64(22.36310641996124))",0.317330497146894
863f29997ffffff,N3,Corridors_2022_within_1.0km,82,Grassland,"(np.float64(37.70281684970711), np.float64(22.330909562079604))",83,Shrubland,"(np.float64(37.70299542772436), np.float64(22.33399509429326))",0.2728204975152935
863f29997ffffff,N3,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.738621742165314), np.float64(22.33734893365593))",43,Shrubland,"(np.float64(37.73433586975136), np.float64(22.341373540891137))",0.593409912233742
863f29997ffffff,N3,Corridors_2022_within_1.0km,11,Shrubland,"(np.float64(37.74275920176763), np.float64(22.36001001043073))",41,Shrubland,"(np.float64(37.736121649923845), np.float64(22.358545198428008))",0.747940321194241
863f29997ffffff,N3,Corridors_2022_within_1.0km,82,Grassland,"(np.float64(37.70281684970711), np.float64(22.330909562079604))",92,Shrubland,"(np.float64(37.6997810234139), np.float64(22.331714483526646))",0.3443447163988254
863f29997ffffff,N3,Corridors_2022_within_1.0km,26,Shrubland,"(np.float64(37.74022894432054), np.float64(22.36109411634364))",39,Shrubland,"(np.float64(37.736478805958335), np.float64(22.359618427024063))",0.4360840335253985
863f29997ffffff,N3,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.74612201888972), np.float64(22.36189903779068))",11,Shrubland,"(np.float64(37.74275920176763), np.float64(22.36001001043073))",0.4086944326716846
863f29997ffffff,N3,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.74130041242403), np.float64(22.36310641996124))",24,Shrubland,"(np.float64(37.74049681134642), np.float64(22.362033191365185))",0.13001383230239427
863f29997ffffff,N3,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.74612201888972), np.float64(22.36189903779068))",20,Shrubland,"(np.float64(37.742037046745175), np.float64(22.362167344939692))",0.4540140306520292
863f29997ffffff,N3,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.74130041242403), np.float64(22.36310641996124))",33,Shrubland,"(np.float64(37.73888960919118), np.float64(22.359081812726036))",0.4443370370737018
863f29997ffffff,N3,Corridors_2022_within_1.0km,96,Shrubland,"(np.float64(37.68732520671086), np.float64(22.373167938049253))",103,Shrubland,"(np.float64(37.684732636567595), np.float64(22.36625902896215))",0.6739246052294802
863f29997ffffff,N3,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.74612201888972), np.float64(22.36189903779068))",29,Shrubland,"(np.float64(37.73955927675586), np.float64(22.360423348471105))",0.7399304164284549
863f29997ffffff,N3,Corridors_2022_within_1.0km,75,Shrubland,"(np.float64(37.705966316556754), np.float64(22.33634887973688))",80,Shrubland,"(np.float64(37.70406689582785), np.float64(22.336409858634383))",0.2108869880502709
863f29997ffffff,N3,Corridors_2022_within_1.0km,56,Shrubland,"(np.float64(37.71777275865162), np.float64(22.409434121024262))",57,Shrubland,"(np.float64(37.71772811414731), np.float64(22.406438024526945))",0.2642063883010832
863f29997ffffff,N3,Corridors_2022_within_1.0km,18,Shrubland,"(np.float64(37.74223794701458), np.float64(22.339629544422547))",40,Shrubland,"(np.float64(37.736210938932466), np.float64(22.338690469400998))",0.6740484507268112
863f29997ffffff,N3,Corridors_2022_within_1.0km,89,Shrubland,"(np.float64(37.70085249151739), np.float64(22.333324326420726))",91,Shrubland,"(np.float64(37.70004889043977), np.float64(22.334263401442275))",0.12171155991585357
863f29997ffffff,N3,Corridors_2022_within_1.0km,77,Shrubland,"(np.float64(37.70404380384286), np.float64(22.33223259388336))",89,Shrubland,"(np.float64(37.70085249151739), np.float64(22.333324326420726))",0.36705754331154716
863f29997ffffff,N3,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.74558628483798), np.float64(22.359484273449556))",17,Grassland,"(np.float64(37.742800467768916), np.float64(22.354681575482214))",0.5241982621691781
863f29997ffffff,N3,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.73915747621706), np.float64(22.33734893365593))",32,Shrubland,"(np.float64(37.73888960919118), np.float64(22.34378830523226))",0.5683624526513218
863f29997ffffff,N3,Corridors_2022_within_1.0km,59,Shrubland,"(np.float64(37.70977669295827), np.float64(22.351823398273773))",68,Shrubland,"(np.float64(37.70830812373748), np.float64(22.34429138113666))",0.6838698076485132
863f29997ffffff,N3,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.704870496905464), np.float64(22.334397555016782))",81,Shrubland,"(np.float64(37.703129361237295), np.float64(22.335873244336355))",0.23298099321862645
863f29997ffffff,N3,Corridors_2022_within_1.0km,22,Shrubland,"(np.float64(37.741367379180495), np.float64(22.340702773018602))",28,Shrubland,"(np.float64(37.7396932102688), np.float64(22.343117537359724))",0.282540878543094
863f29997ffffff,N3,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.708419734998266), np.float64(22.334978887172976))",77,Shrubland,"(np.float64(37.70404380384286), np.float64(22.33223259388336))",0.5427164088004485
863f29997ffffff,N3,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.704870496905464), np.float64(22.334397555016782))",90,Open EV needleleaf,"(np.float64(37.70004889043977), np.float64(22.332519404973684))",0.5601984278227099
863f29997ffffff,N3,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.708419734998266), np.float64(22.334978887172976))",86,Shrubland,"(np.float64(37.70228111565537), np.float64(22.3327877121227))",0.7082000238628412
863f29997ffffff,N3,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.703129361237295), np.float64(22.335873244336355))",86,Shrubland,"(np.float64(37.70228111565537), np.float64(22.3327877121227))",0.2879276348899135
863f29997ffffff,N3,Corridors_2022_within_1.0km,63,Grassland,"(np.float64(37.709424236345285), np.float64(22.360852639909528))",65,Shrubland,"(np.float64(37.709424236345285), np.float64(22.3623014985142))",0.1277573001175289
863f29997ffffff,N3,Corridors_2022_within_1.0km,11,Shrubland,"(np.float64(37.74275920176763), np.float64(22.36001001043073))",27,Shrubland,"(np.float64(37.73996107729467), np.float64(22.3623014985142))",0.37046630682897297
863f29997ffffff,N3,Corridors_2022_within_1.0km,3,Shrubland,"(np.float64(37.74565325159445), np.float64(22.360674886423304))",23,Shrubland,"(np.float64(37.74130041242403), np.float64(22.36310641996124))",0.5285280016209539
863f29997ffffff,N3,Corridors_2022_within_1.0km,63,Grassland,"(np.float64(37.709424236345285), np.float64(22.360852639909528))",74,Shrubland,"(np.float64(37.70701343311244), np.float64(22.36364303425927))",0.3635116956784179
863f29997ffffff,N3,Corridors_2022_within_1.0km,11,Shrubland,"(np.float64(37.74275920176763), np.float64(22.36001001043073))",36,Shrubland,"(np.float64(37.73808600811357), np.float64(22.36176488421617))",0.5412569490013123
863f29997ffffff,N3,Corridors_2022_within_1.0km,82,Grassland,"(np.float64(37.70281684970711), np.float64(22.330909562079604))",87,Shrubland,"(np.float64(37.70147751457775), np.float64(22.33108843351228))",0.14948851119572684
863f29997ffffff,N3,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.74612201888972), np.float64(22.36189903779068))",6,Shrubland,"(np.float64(37.74585415186385), np.float64(22.362569805663213))",0.06617288196417746
863f29997ffffff,N3,Corridors_2022_within_1.0km,85,Shrubland,"(np.float64(37.70272756069849), np.float64(22.334665862165796))",89,Shrubland,"(np.float64(37.70085249151739), np.float64(22.333324326420726))",0.23939163910175149
863f29997ffffff,N3,Corridors_2022_within_1.0km,44,Grassland,"(np.float64(37.73406800272549), np.float64(22.3327877121227))",51,Shrubland,"(np.float64(37.72844279518218), np.float64(22.330104640632563))",0.6676476056888307
863f29997ffffff,N3,Corridors_2022_within_1.0km,25,Shrubland,"(np.float64(37.74022894432054), np.float64(22.336275705059876))",47,Shrubland,"(np.float64(37.732996534622), np.float64(22.33493416931481))",0.8113989559566264
863f29997ffffff,N3,Corridors_2022_within_1.0km,96,Shrubland,"(np.float64(37.68732520671086), np.float64(22.373167938049253))",98,Shrubland,"(np.float64(37.68692340617205), np.float64(22.372228863027704))",0.094072818127811
863f29997ffffff,N3,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.74612201888972), np.float64(22.36189903779068))",24,Shrubland,"(np.float64(37.74049681134642), np.float64(22.362033191365185))",0.6244628772001682
863f29997ffffff,N3,Corridors_2022_within_1.0km,66,Shrubland,"(np.float64(37.70915636931941), np.float64(22.342715076636203))",75,Shrubland,"(np.float64(37.705966316556754), np.float64(22.33634887973688))",0.6637031150845879
863f29997ffffff,N3,Corridors_2022_within_1.0km,37,Shrubland,"(np.float64(37.73771099427735), np.float64(22.36525287715335))",39,Shrubland,"(np.float64(37.736478805958335), np.float64(22.359618427024063))",0.5151352702952471
863f29997ffffff,N3,Corridors_2022_within_1.0km,18,Shrubland,"(np.float64(37.74223794701458), np.float64(22.339629544422547))",35,Shrubland,"(np.float64(37.738621742165314), np.float64(22.340032005146067))",0.40293279215548783
863f29997ffffff,N3,Corridors_2022_within_1.0km,77,Shrubland,"(np.float64(37.70404380384286), np.float64(22.33223259388336))",84,Shrubland,"(np.float64(37.70272756069849), np.float64(22.329568026334535))",0.276687244888588
863f29997ffffff,N3,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.74558628483798), np.float64(22.359484273449556))",12,Shrubland,"(np.float64(37.744514816734494), np.float64(22.36176488421617))",0.23354910972425574
863f29997ffffff,N3,Corridors_2022_within_1.0km,56,Shrubland,"(np.float64(37.71777275865162), np.float64(22.409434121024262))",61,Shrubland,"(np.float64(37.710074770550975), np.float64(22.40569059746898))",0.9159493058545323
863f29997ffffff,N3,Corridors_2022_within_1.0km,58,Shrubland,"(np.float64(37.71049570444877), np.float64(22.34164184804015))",80,Shrubland,"(np.float64(37.70406689582785), np.float64(22.336409858634383))",0.8497004701018219
863f29997ffffff,N3,Corridors_2022_within_1.0km,59,Shrubland,"(np.float64(37.70977669295827), np.float64(22.351823398273773))",72,Shrubland,"(np.float64(37.70781703419005), np.float64(22.357606123406462))",0.5543638370387726
863f29997ffffff,N3,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.704870496905464), np.float64(22.334397555016782))",85,Shrubland,"(np.float64(37.70272756069849), np.float64(22.334665862165796))",0.23902033154269742
863f29997ffffff,N3,Corridors_2022_within_1.0km,62,Shrubland,"(np.float64(37.7102278374229), np.float64(22.348617833914503))",68,Shrubland,"(np.float64(37.70830812373748), np.float64(22.34429138113666))",0.43696700139156247
863f29997ffffff,N3,Corridors_2022_within_1.0km,22,Shrubland,"(np.float64(37.741367379180495), np.float64(22.340702773018602))",32,Shrubland,"(np.float64(37.73888960919118), np.float64(22.34378830523226))",0.38677574203252546
863f29997ffffff,N3,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.708419734998266), np.float64(22.334978887172976))",81,Shrubland,"(np.float64(37.703129361237295), np.float64(22.335873244336355))",0.5924561514215021
863f29997ffffff,N3,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.73915747621706), np.float64(22.33734893365593))",45,Shrubland,"(np.float64(37.73406800272549), np.float64(22.34378830523226))",0.8007943678931398
863f29997ffffff,N3,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.708419734998266), np.float64(22.334978887172976))",90,Open EV needleleaf,"(np.float64(37.70004889043977), np.float64(22.332519404973684))",0.9540668345696394
863f29997ffffff,N3,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.703129361237295), np.float64(22.335873244336355))",90,Open EV needleleaf,"(np.float64(37.70004889043977), np.float64(22.332519404973684))",0.4520792766678836
863f29997ffffff,N3,Corridors_2022_within_1.0km,3,Shrubland,"(np.float64(37.74565325159445), np.float64(22.360674886423304))",9,Shrubland,"(np.float64(37.74518448429917), np.float64(22.35680120195942))",0.3453498335663561
863f29997ffffff,N3,Corridors_2022_within_1.0km,26,Shrubland,"(np.float64(37.74022894432054), np.float64(22.36109411634364))",29,Shrubland,"(np.float64(37.73955927675586), np.float64(22.360423348471105))",0.09497399638253813
