H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f299a7ffffff,N1,Corridors_2022_within_1.0km,73,Shrubland,"(np.float64(37.83977842804159), np.float64(22.43263280369667))",138,Shrubland,"(np.float64(37.83494124566307), np.float64(22.42949002743466))",0.6039782778301049
863f299a7ffffff,N1,Corridors_2022_within_1.0km,24,Shrubland,"(np.float64(37.84444459892188), np.float64(22.40700464762067))",133,Shrubland,"(np.float64(37.83547871037179), np.float64(22.407786068291877))",0.9975291404601037
863f299a7ffffff,N1,Corridors_2022_within_1.0km,17,Shrubland,"(np.float64(37.84508589204025), np.float64(22.404159787989556))",94,Shrubland,"(np.float64(37.83799807619394), np.float64(22.40355540793917))",0.7884979773527534
863f299a7ffffff,N1,Corridors_2022_within_1.0km,36,Shrubland,"(np.float64(37.843387119657315), np.float64(22.397617134110767))",107,Grassland,"(np.float64(37.83749420302951), np.float64(22.39381817379405))",0.7345975190465114
863f299a7ffffff,N1,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.83843476626978), np.float64(22.410875121882743))",123,Shrubland,"(np.float64(37.83628490743488), np.float64(22.40492085916412))",0.5758926027197693
863f299a7ffffff,N1,Corridors_2022_within_1.0km,29,Shrubland,"(np.float64(37.84389899080848), np.float64(22.405353625126125))",68,Shrubland,"(np.float64(37.839912794218776), np.float64(22.408457601681196))",0.5200007341746798
863f299a7ffffff,N1,Corridors_2022_within_1.0km,41,Shrubland,"(np.float64(37.84236381862322), np.float64(22.410555564614725))",42,Shrubland,"(np.float64(37.843182371196846), np.float64(22.409845437352455))",0.11027849721526813
863f299a7ffffff,N1,Corridors_2022_within_1.0km,100,Closed DC broadleaf,"(np.float64(37.83843476626978), np.float64(22.42041089601107))",128,Shrubland,"(np.float64(37.83606992155139), np.float64(22.426051776481348))",0.5616530621908817
863f299a7ffffff,N1,Corridors_2022_within_1.0km,66,Shrubland,"(np.float64(37.84031589275032), np.float64(22.42873791003862))",135,Shrubland,"(np.float64(37.83547871037179), np.float64(22.4251116297363))",0.6246186341346922
863f299a7ffffff,N1,Corridors_2022_within_1.0km,58,Shrubland,"(np.float64(37.84125645599058), np.float64(22.41611308231943))",131,Shrubland,"(np.float64(37.836016175080516), np.float64(22.414232788829338))",0.6047276354552822
863f299a7ffffff,N1,Corridors_2022_within_1.0km,50,Shrubland,"(np.float64(37.842465751585216), np.float64(22.407383148258287))",127,Shrubland,"(np.float64(37.836092955753195), np.float64(22.408208174993735))",0.7110567696668072
863f299a7ffffff,N1,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.83924096333287), np.float64(22.426723309870667))",109,Shrubland,"(np.float64(37.836545961721974), np.float64(22.422705621535712))",0.4631973466298491
863f299a7ffffff,N1,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.839711244953), np.float64(22.405771468123923))",105,Shrubland,"(np.float64(37.83776293538387), np.float64(22.410875121882743))",0.49858411187339347
863f299a7ffffff,N1,Corridors_2022_within_1.0km,28,Shrubland,"(np.float64(37.84434687806576), np.float64(22.400130587653646))",108,Shrubland,"(np.float64(37.83749420302951), np.float64(22.399324747586462))",0.7639024447698055
863f299a7ffffff,N1,Corridors_2022_within_1.0km,74,Shrubland,"(np.float64(37.83950969568723), np.float64(22.400399201009375))",75,Grassland,"(np.float64(37.83950969568723), np.float64(22.40133934775442))",0.08275503582216201
863f299a7ffffff,N1,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.84359442747354), np.float64(22.400211171660363))",39,Shrubland,"(np.float64(37.8432719486483), np.float64(22.406174388157513))",0.5260945746112011
