H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f299afffffff,N6,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.816329352461715), np.float64(22.4793073778049))",33,Shrubland,"(np.float64(37.815388949173304), np.float64(22.476890140250656))",0.23705778825170845
863f299afffffff,N6,Corridors_2022_within_1.0km,9,Shrubland,"(np.float64(37.82235037611349), np.float64(22.485655678452417))",10,Shrubland,"(np.float64(37.82277783215368), np.float64(22.480113123656317))",0.4902878226967605
863f299afffffff,N6,Corridors_2022_within_1.0km,41,Shrubland,"(np.float64(37.81391117257723), np.float64(22.479173086829665))",42,Shrubland,"(np.float64(37.81354172842821), np.float64(22.474271466233557))",0.43355162776980805
863f299afffffff,N6,Corridors_2022_within_1.0km,12,Shrubland,"(np.float64(37.82240167083832), np.float64(22.481751473554194))",15,Shrubland,"(np.float64(37.820897025576855), np.float64(22.47836734097825))",0.34156697886396015
863f299afffffff,N6,Corridors_2022_within_1.0km,42,Shrubland,"(np.float64(37.81354172842821), np.float64(22.474271466233557))",43,Shrubland,"(np.float64(37.813642485923395), np.float64(22.47997883268108))",0.502682695960136
863f299afffffff,N6,Corridors_2022_within_1.0km,74,Shrubland,"(np.float64(37.803701079731624), np.float64(22.46816122686032))",75,Closed DC broadleaf,"(np.float64(37.8032532686419), np.float64(22.470757519048217))",0.2339859603395924
863f299afffffff,N6,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.81525460584639), np.float64(22.475547230498297))",39,Shrubland,"(np.float64(37.81417985923106), np.float64(22.47272712001834))",0.2754856456181648
863f299afffffff,N6,Corridors_2022_within_1.0km,26,Shrubland,"(np.float64(37.817404099077045), np.float64(22.48387327096292))",35,Shrubland,"(np.float64(37.81525460584639), np.float64(22.47971025073061))",0.4373612382217167
863f299afffffff,N6,Corridors_2022_within_1.0km,45,Closed DC broadleaf,"(np.float64(37.81337379926957), np.float64(22.476218685374477))",48,Shrubland,"(np.float64(37.812836425961905), np.float64(22.473532865869757))",0.2439047543345299
863f299afffffff,N6,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.823427880509726), np.float64(22.477492283655746))",16,Shrubland,"(np.float64(37.82116571223069), np.float64(22.481456033408676))",0.4299229948134416
863f299afffffff,N6,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.81821015903854), np.float64(22.47910594134205))",29,Shrubland,"(np.float64(37.81659803911555), np.float64(22.483067525111508))",0.3920337284697126
863f299afffffff,N6,Corridors_2022_within_1.0km,15,Shrubland,"(np.float64(37.820897025576855), np.float64(22.47836734097825))",25,Shrubland,"(np.float64(37.81753844240396), np.float64(22.48038170560679))",0.41282088421482127
863f299afffffff,N6,Corridors_2022_within_1.0km,75,Closed DC broadleaf,"(np.float64(37.8032532686419), np.float64(22.470757519048217))",76,Shrubland,"(np.float64(37.802686041261595), np.float64(22.46726595369208))",0.31387055570468075
863f299afffffff,N6,Corridors_2022_within_1.0km,107,Shrubland,"(np.float64(37.78873139473242), np.float64(22.447710629774395))",108,Shrubland,"(np.float64(37.78865462711704), np.float64(22.449226199352058))",0.1337689004561754
863f299afffffff,N6,Corridors_2022_within_1.0km,67,Shrubland,"(np.float64(37.80504451300078), np.float64(22.468966972711737))",72,Shrubland,"(np.float64(37.80396976638546), np.float64(22.47124991929075))",0.2337737544470696
863f299afffffff,N6,Corridors_2022_within_1.0km,37,Shrubland,"(np.float64(37.814717232538726), np.float64(22.474204320745937))",49,Closed DC broadleaf,"(np.float64(37.812836425961905), np.float64(22.476218685374477))",0.2739350112066371
863f299afffffff,N6,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.79241624027069), np.float64(22.46923555466221))",100,Shrubland,"(np.float64(37.790804120347694), np.float64(22.46923555466221))",0.17893328012471485
863f299afffffff,N6,Corridors_2022_within_1.0km,56,Grassland,"(np.float64(37.811224306038916), np.float64(22.47836734097825))",62,Shrubland,"(np.float64(37.807194006231434), np.float64(22.470981337340277))",0.7893913716692404
863f299afffffff,N6,Corridors_2022_within_1.0km,16,Shrubland,"(np.float64(37.82116571223069), np.float64(22.481456033408676))",26,Shrubland,"(np.float64(37.817404099077045), np.float64(22.48387327096292))",0.46863041980150727
863f299afffffff,N6,Corridors_2022_within_1.0km,89,Shrubland,"(np.float64(37.79805866000115), np.float64(22.466012571256545))",96,Grassland,"(np.float64(37.79268492692452), np.float64(22.470041300513625))",0.6940126206484023
863f299afffffff,N6,Corridors_2022_within_1.0km,48,Shrubland,"(np.float64(37.812836425961905), np.float64(22.473532865869757))",58,Shrubland,"(np.float64(37.81068693273125), np.float64(22.47648726732495))",0.3529871673141651
863f299afffffff,N6,Corridors_2022_within_1.0km,108,Shrubland,"(np.float64(37.78865462711704), np.float64(22.449226199352058))",109,Shrubland,"(np.float64(37.78838594046321), np.float64(22.45150914593107))",0.2032905888455521
863f299afffffff,N6,Corridors_2022_within_1.0km,8,Grassland,"(np.float64(37.82331520546134), np.float64(22.48427614388863))",22,Grassland,"(np.float64(37.8187475323462), np.float64(22.48239607023533))",0.5333195386797117
