H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f299b7ffffff,N2,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.754334334116315), np.float64(22.347444705511457))",123,Shrubland,"(np.float64(37.7495142028167), np.float64(22.34178999197079))",0.7311349009878305
863f299b7ffffff,N2,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.772918618127086), np.float64(22.37760317772835))",33,Shrubland,"(np.float64(37.772097410572336), np.float64(22.368986471380666))",0.7646106816197376
863f299b7ffffff,N2,Corridors_2022_within_1.0km,89,Closed DC broadleaf,"(np.float64(37.75599460156396), np.float64(22.341628428726768))",119,Grassland,"(np.float64(37.7501836654972), np.float64(22.336673822576852))",0.7788629729597275
863f299b7ffffff,N2,Corridors_2022_within_1.0km,9,Shrubland,"(np.float64(37.77682828018122), np.float64(22.375314365104746))",10,Shrubland,"(np.float64(37.776560495109024), np.float64(22.373294824554506))",0.1803832664420855
863f299b7ffffff,N2,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.75714607737443), np.float64(22.34488662081449))",109,Closed DC broadleaf,"(np.float64(37.75299540875531), np.float64(22.34502125685117))",0.46084313187381387
863f299b7ffffff,N2,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.758351110199335), np.float64(22.343001716300932))",105,Shrubland,"(np.float64(37.753263193827514), np.float64(22.33855872709041))",0.6871686038539394
863f299b7ffffff,N2,Corridors_2022_within_1.0km,62,Shrubland,"(np.float64(37.759199096261305), np.float64(22.344392955346652))",101,Shrubland,"(np.float64(37.753798763971915), np.float64(22.34461734874112))",0.5997190848032777
863f299b7ffffff,N2,Corridors_2022_within_1.0km,122,Shrubland,"(np.float64(37.74938031028059), np.float64(22.337885546906993))",152,Shrubland,"(np.float64(37.744158501372674), np.float64(22.33761627483363))",0.5800630680359876
863f299b7ffffff,N2,Corridors_2022_within_1.0km,42,Shrubland,"(np.float64(37.76933029815959), np.float64(22.368986471380666))",43,Shrubland,"(np.float64(37.76864595853063), np.float64(22.370153317031914))",0.12782315483374215
863f299b7ffffff,N2,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.77198902137644), np.float64(22.376526089434886))",39,Shrubland,"(np.float64(37.77066922352059), np.float64(22.37248700833441))",0.38483202645606973
863f299b7ffffff,N2,Corridors_2022_within_1.0km,26,Shrubland,"(np.float64(37.773704121005544), np.float64(22.378590508664022))",35,Shrubland,"(np.float64(37.772008148881596), np.float64(22.36979428760076))",0.7975046583614022
863f299b7ffffff,N2,Corridors_2022_within_1.0km,45,Shrubland,"(np.float64(37.76370681164336), np.float64(22.345829073071265))",48,Shrubland,"(np.float64(37.762903456426756), np.float64(22.34609834514463))",0.09226879144172938
863f299b7ffffff,N2,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.77441821453141), np.float64(22.375718273214794))",29,Shrubland,"(np.float64(37.773079289170404), np.float64(22.374910456994698))",0.16477308630964693
863f299b7ffffff,N2,Corridors_2022_within_1.0km,15,Grassland,"(np.float64(37.77575713989242), np.float64(22.312708608047355))",25,Closed DC broadleaf,"(np.float64(37.772888014118834), np.float64(22.315718685153186))",0.41441146110913446
863f299b7ffffff,N2,Corridors_2022_within_1.0km,67,Shrubland,"(np.float64(37.75902057287984), np.float64(22.36817865516057))",72,Shrubland,"(np.float64(37.758351110199335), np.float64(22.367909383087206))",0.07800159268229764
863f299b7ffffff,N2,Corridors_2022_within_1.0km,85,Shrubland,"(np.float64(37.75582202896188), np.float64(22.343974087676973))",126,Closed DC broadleaf,"(np.float64(37.749112525208396), np.float64(22.3393665433105))",0.8482059089399628
863f299b7ffffff,N2,Corridors_2022_within_1.0km,96,Shrubland,"(np.float64(37.75424507242558), np.float64(22.33963581538387))",135,Grassland,"(np.float64(37.74790749238349), np.float64(22.342059264044153))",0.7351277955807329
863f299b7ffffff,N2,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.754334334116315), np.float64(22.347444705511457))",100,Closed DC broadleaf,"(np.float64(37.753798763971915), np.float64(22.339097271237137))",0.7380152745804393
863f299b7ffffff,N2,Corridors_2022_within_1.0km,16,Shrubland,"(np.float64(37.775489354820216), np.float64(22.381103714682094))",26,Shrubland,"(np.float64(37.773704121005544), np.float64(22.378590508664022))",0.29713104273017704
863f299b7ffffff,N2,Corridors_2022_within_1.0km,88,Shrubland,"(np.float64(37.75620882962173), np.float64(22.340578267640645))",131,Grassland,"(np.float64(37.74797443865154), np.float64(22.3413187658424))",0.9162766268905946
863f299b7ffffff,N2,Corridors_2022_within_1.0km,89,Closed DC broadleaf,"(np.float64(37.75599460156396), np.float64(22.341628428726768))",96,Shrubland,"(np.float64(37.75424507242558), np.float64(22.33963581538387))",0.2618040356417954
863f299b7ffffff,N2,Corridors_2022_within_1.0km,48,Shrubland,"(np.float64(37.762903456426756), np.float64(22.34609834514463))",58,Grassland,"(np.float64(37.76022560570475), np.float64(22.345829073071265))",0.2981654980954228
863f299b7ffffff,N2,Corridors_2022_within_1.0km,107,Shrubland,"(np.float64(37.75299540875531), np.float64(22.36602447857365))",144,Shrubland,"(np.float64(37.74661319786785), np.float64(22.360324886354086))",0.8683907322144244
863f299b7ffffff,N2,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.7755123078264), np.float64(22.379495775729715))",22,Shrubland,"(np.float64(37.77441821453141), np.float64(22.374910456994698))",0.4218249896701568
863f299b7ffffff,N2,Corridors_2022_within_1.0km,100,Closed DC broadleaf,"(np.float64(37.753798763971915), np.float64(22.339097271237137))",105,Shrubland,"(np.float64(37.753263193827514), np.float64(22.33855872709041))",0.07606566018547234
863f299b7ffffff,N2,Corridors_2022_within_1.0km,60,Shrubland,"(np.float64(37.75995782063254), np.float64(22.339905087457232))",69,Shrubland,"(np.float64(37.75813688214158), np.float64(22.33915112565181))",0.21274937625749857
863f299b7ffffff,N2,Corridors_2022_within_1.0km,19,Shrubland,"(np.float64(37.77481989213971), np.float64(22.37172407079321))",31,Shrubland,"(np.float64(37.7728115040982), np.float64(22.370063559674126))",0.2666328825123591
863f299b7ffffff,N2,Corridors_2022_within_1.0km,66,Shrubland,"(np.float64(37.75942225048814), np.float64(22.369390379490714))",112,Shrubland,"(np.float64(37.75299540875531), np.float64(22.371006011930902))",0.7273966287709304
863f299b7ffffff,N2,Corridors_2022_within_1.0km,77,Shrubland,"(np.float64(37.75754775498273), np.float64(22.344348076667757))",121,Shrubland,"(np.float64(37.749781987888895), np.float64(22.34354026044766))",0.8648714618026065
863f299b7ffffff,N2,Corridors_2022_within_1.0km,78,Shrubland,"(np.float64(37.75714607737443), np.float64(22.34488662081449))",86,Shrubland,"(np.float64(37.75647661469393), np.float64(22.344751984777805))",0.07524615832596541
863f299b7ffffff,N2,Corridors_2022_within_1.0km,130,Shrubland,"(np.float64(37.74829699794305), np.float64(22.364017177663108))",133,Shrubland,"(np.float64(37.747706653579336), np.float64(22.365982404812186))",0.1851795091431672
863f299b7ffffff,N2,Corridors_2022_within_1.0km,22,Shrubland,"(np.float64(37.77441821453141), np.float64(22.374910456994698))",42,Shrubland,"(np.float64(37.76933029815959), np.float64(22.368986471380666))",0.768969465136492
863f299b7ffffff,N2,Corridors_2022_within_1.0km,122,Shrubland,"(np.float64(37.74938031028059), np.float64(22.337885546906993))",129,Grassland,"(np.float64(37.748800109290826), np.float64(22.33182692525628))",0.5378209450436935
863f299b7ffffff,N2,Corridors_2022_within_1.0km,81,Closed DC broadleaf,"(np.float64(37.756452270596455), np.float64(22.337848827987898))",91,Shrubland,"(np.float64(37.7553459666113), np.float64(22.34663688929136))",0.784102761998341
863f299b7ffffff,N2,Corridors_2022_within_1.0km,101,Shrubland,"(np.float64(37.753798763971915), np.float64(22.34461734874112))",106,Shrubland,"(np.float64(37.753263193827514), np.float64(22.350137426245105))",0.4900786492010791
863f299b7ffffff,N2,Corridors_2022_within_1.0km,114,Shrubland,"(np.float64(37.75259373114701), np.float64(22.357003864115917))",125,Shrubland,"(np.float64(37.7495142028167), np.float64(22.356869228079233))",0.342008186331481
863f299b7ffffff,N2,Corridors_2022_within_1.0km,133,Shrubland,"(np.float64(37.747706653579336), np.float64(22.365982404812186))",138,Shrubland,"(np.float64(37.74750581477519), np.float64(22.3625239416199))",0.30561750989729264
863f299b7ffffff,N2,Corridors_2022_within_1.0km,93,Shrubland,"(np.float64(37.75486990426072), np.float64(22.368986471380666))",102,Shrubland,"(np.float64(37.75368399894097), np.float64(22.3678324482091))",0.16633649492143832
863f299b7ffffff,N2,Corridors_2022_within_1.0km,99,Shrubland,"(np.float64(37.75406654904412), np.float64(22.33855872709041))",145,Grassland,"(np.float64(37.74656856702248), np.float64(22.335596734283392))",0.8721936011983003
863f299b7ffffff,N2,Corridors_2022_within_1.0km,59,Shrubland,"(np.float64(37.76022560570475), np.float64(22.347310069474773))",109,Closed DC broadleaf,"(np.float64(37.75299540875531), np.float64(22.34502125685117))",0.8274514733925343
863f299b7ffffff,N2,Corridors_2022_within_1.0km,63,Shrubland,"(np.float64(37.758791042817954), np.float64(22.346213747461785))",79,Shrubland,"(np.float64(37.757279969910535), np.float64(22.346232981181313))",0.16772542111576275
863f299b7ffffff,N2,Corridors_2022_within_1.0km,74,Shrubland,"(np.float64(37.757503124137365), np.float64(22.341655355934105))",88,Shrubland,"(np.float64(37.75620882962173), np.float64(22.340578267640645))",0.17217990632388613
863f299b7ffffff,N2,Corridors_2022_within_1.0km,126,Closed DC broadleaf,"(np.float64(37.749112525208396), np.float64(22.3393665433105))",135,Grassland,"(np.float64(37.74790749238349), np.float64(22.342059264044153))",0.27240868293725345
863f299b7ffffff,N2,Corridors_2022_within_1.0km,85,Shrubland,"(np.float64(37.75582202896188), np.float64(22.343974087676973))",103,Grassland,"(np.float64(37.753263193827514), np.float64(22.335866006356756))",0.7688954391241616
863f299b7ffffff,N2,Corridors_2022_within_1.0km,104,Shrubland,"(np.float64(37.753263193827514), np.float64(22.336404550503485))",116,Shrubland,"(np.float64(37.75165648339431), np.float64(22.34448271270444))",0.733899422455743
