Date,Fire Readiness (%)
2020-01-01,6.5154448
2020-02-01,6.525589
2020-03-01,4.7105455
2020-04-01,12.9818735
2020-05-01,14.045901
2020-06-01,37.393784
2020-07-01,28.266132
2020-08-01,38.4589
2020-09-01,42.4595
2020-10-01,53.027927
2020-11-01,26.791016
2020-12-01,9.084925
2021-01-01,6.4742537
2021-02-01,3.8500695
2021-03-01,6.1333504
2021-04-01,21.566402
2021-05-01,36.3709
2021-06-01,26.347652
2021-07-01,60.646065
2021-08-01,58.554344
2021-09-01,62.87897
2021-10-01,8.106725
2021-11-01,13.9589205
2021-12-01,3.241541
2022-01-01,2.4611216
2022-02-01,5.885731
2022-03-01,5.761648
2022-04-01,24.334726
2022-05-01,26.799334
2022-06-01,42.93168
2022-07-01,30.60894
2022-08-01,42.67071
2022-09-01,42.055397
2022-10-01,38.50214
2022-11-01,10.709465
2022-12-01,9.450206
2023-01-01,4.74321
2023-02-01,12.422962
2023-03-01,4.3264756
2023-04-01,7.171506
2023-05-01,25.004084
2023-06-01,19.588345
2023-07-01,33.524837
2023-08-01,56.02715
2023-09-01,32.593952
2023-10-01,51.11737
2023-11-01,8.7833805
2023-12-01,12.302699
2024-01-01,6.46646
