H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.74817369278103), np.float64(22.44876541218714))",123,Shrubland,"(np.float64(37.74393985566167), np.float64(22.444201850691744))",0.6185434331332452
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.76080800037532), np.float64(22.463529875848714))",33,Shrubland,"(np.float64(37.75758221971295), np.float64(22.465543211802565))",0.399580830836002
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,48,Shrubland,"(np.float64(37.75366520033721), np.float64(22.441900895315914))",81,Shrubland,"(np.float64(37.74978658311222), np.float64(22.449033856980986))",0.7618913889500051
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,9,Shrubland,"(np.float64(37.77626486604918), np.float64(22.413330699399367))",10,Grassland,"(np.float64(37.77613045852158), np.float64(22.410109361873204))",0.28418752733390357
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,89,Shrubland,"(np.float64(37.74861531751457), np.float64(22.455131388726937))",119,Shrubland,"(np.float64(37.74494791211866), np.float64(22.45950320394101))",0.5604908645510934
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,41,Shrubland,"(np.float64(37.75516288421617), np.float64(22.449570746568682))",42,Shrubland,"(np.float64(37.75516288421617), np.float64(22.450644525744067))",0.09462536269347953
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,12,Shrubland,"(np.float64(37.76724276075911), np.float64(22.46478821081987))",15,Shrubland,"(np.float64(37.76524344878608), np.float64(22.46218765187948))",0.31897749067012876
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,59,Shrubland,"(np.float64(37.75269874621019), np.float64(22.447333706619958))",96,Shrubland,"(np.float64(37.74817369278103), np.float64(22.442322737134816))",0.668783089551038
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.750423042287025), np.float64(22.456502938598017))",105,Shrubland,"(np.float64(37.74709843256024), np.float64(22.450606176487803))",0.637370254964648
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.74978658311222), np.float64(22.449033856980986))",114,Shrubland,"(np.float64(37.74561994975666), np.float64(22.452926306491765))",0.5758082312497809
