H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f2999fffffff,N4,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.67020651682074), np.float64(22.45999114828646))",37,Shrubland,"(np.float64(37.66973145223476), np.float64(22.457886617024627))",0.19301318521781027
863f2999fffffff,N4,Corridors_2022_within_1.0km,27,Shrubland,"(np.float64(37.67421746480172), np.float64(22.456070377716472))",31,Shrubland,"(np.float64(37.672878356572774), np.float64(22.45714666767686))",0.17636873630521388
863f2999fffffff,N4,Corridors_2022_within_1.0km,44,Shrubland,"(np.float64(37.66589064635993), np.float64(22.456681906103057))",47,Shrubland,"(np.float64(37.66462944988248), np.float64(22.456447079202608))",0.14150540223014757
863f2999fffffff,N4,Corridors_2022_within_1.0km,31,Shrubland,"(np.float64(37.672878356572774), np.float64(22.45714666767686))",47,Shrubland,"(np.float64(37.66462944988248), np.float64(22.456447079202608))",0.9176260933257174
863f2999fffffff,N4,Corridors_2022_within_1.0km,45,Shrubland,"(np.float64(37.66537935049069), np.float64(22.458707288119424))",46,Shrubland,"(np.float64(37.6651115288449), np.float64(22.455532232736278))",0.2817085095687726
863f2999fffffff,N4,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.67020651682074), np.float64(22.45999114828646))",46,Shrubland,"(np.float64(37.6651115288449), np.float64(22.455532232736278))",0.6888725542992734
863f2999fffffff,N4,Corridors_2022_within_1.0km,36,Shrubland,"(np.float64(37.67046796176068), np.float64(22.458492030127346))",43,Shrubland,"(np.float64(37.667521923657), np.float64(22.460151310482946))",0.3582558630516026
863f2999fffffff,N4,Corridors_2022_within_1.0km,9,Grassland,"(np.float64(37.69350062329851), np.float64(22.42014920028849))",10,Grassland,"(np.float64(37.69323280165273), np.float64(22.419207446573147))",0.08821872639244281
863f2999fffffff,N4,Corridors_2022_within_1.0km,24,Shrubland,"(np.float64(37.68364478673349), np.float64(22.417485382636524))",26,Shrubland,"(np.float64(37.683055579112754), np.float64(22.41624764918208))",0.12726641182498996
863f2999fffffff,N4,Corridors_2022_within_1.0km,41,Shrubland,"(np.float64(37.668593210240154), np.float64(22.4340064335285))",42,Shrubland,"(np.float64(37.66819147777147), np.float64(22.433064679813157))",0.0942956842608543
863f2999fffffff,N4,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.67229807634023), np.float64(22.434380145320297))",42,Shrubland,"(np.float64(37.66819147777147), np.float64(22.433064679813157))",0.4703357288373083
863f2999fffffff,N4,Corridors_2022_within_1.0km,39,Shrubland,"(np.float64(37.668861031885946), np.float64(22.461720900008515))",45,Shrubland,"(np.float64(37.66537935049069), np.float64(22.458707288119424))",0.4690680667732982
863f2999fffffff,N4,Corridors_2022_within_1.0km,32,Shrubland,"(np.float64(37.67220880245831), np.float64(22.45916471135259))",39,Shrubland,"(np.float64(37.668861031885946), np.float64(22.461720900008515))",0.4346517410675998
863f2999fffffff,N4,Corridors_2022_within_1.0km,10,Grassland,"(np.float64(37.69323280165273), np.float64(22.419207446573147))",18,Grassland,"(np.float64(37.68600161721643), np.float64(22.41422960550635))",0.9148351840462231
863f2999fffffff,N4,Corridors_2022_within_1.0km,12,Grassland,"(np.float64(37.69216151506957), np.float64(22.425261577600335))",15,Shrubland,"(np.float64(37.690822406840624), np.float64(22.422301780209267))",0.3003969917561569
863f2999fffffff,N4,Corridors_2022_within_1.0km,32,Shrubland,"(np.float64(37.67220880245831), np.float64(22.45916471135259))",48,Shrubland,"(np.float64(37.66484370719911), np.float64(22.460644610048124))",0.8278150192233007
863f2999fffffff,N4,Corridors_2022_within_1.0km,14,Shrubland,"(np.float64(37.6913580501322), np.float64(22.419207446573147))",18,Grassland,"(np.float64(37.68600161721643), np.float64(22.41422960550635))",0.7390658375387056
863f2999fffffff,N4,Corridors_2022_within_1.0km,28,Shrubland,"(np.float64(37.67421746480172), np.float64(22.456877595186764))",35,Shrubland,"(np.float64(37.67113751587515), np.float64(22.4580884213922))",0.35814563844424263
863f2999fffffff,N4,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.693768444944304), np.float64(22.419476519063245))",11,Grassland,"(np.float64(37.692268643727886), np.float64(22.423566420912724))",0.3972757532469456
863f2999fffffff,N4,Corridors_2022_within_1.0km,37,Shrubland,"(np.float64(37.66973145223476), np.float64(22.457886617024627))",47,Shrubland,"(np.float64(37.66462944988248), np.float64(22.456447079202608))",0.5803404980613593
863f2999fffffff,N4,Corridors_2022_within_1.0km,16,Shrubland,"(np.float64(37.689780878218116), np.float64(22.42183837758743))",24,Shrubland,"(np.float64(37.68364478673349), np.float64(22.417485382636524))",0.7818235947835495
863f2999fffffff,N4,Corridors_2022_within_1.0km,28,Shrubland,"(np.float64(37.67421746480172), np.float64(22.456877595186764))",44,Shrubland,"(np.float64(37.66589064635993), np.float64(22.456681906103057))",0.9243568398262645
863f2999fffffff,N4,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.67020651682074), np.float64(22.45999114828646))",39,Shrubland,"(np.float64(37.668861031885946), np.float64(22.461720900008515))",0.2135186681653637
863f2999fffffff,N4,Corridors_2022_within_1.0km,19,Grassland,"(np.float64(37.68573379557064), np.float64(22.471407509652014))",20,Shrubland,"(np.float64(37.685198152279064), np.float64(22.47086936467182))",0.07607660438546111
863f2999fffffff,N4,Corridors_2022_within_1.0km,27,Shrubland,"(np.float64(37.67421746480172), np.float64(22.456070377716472))",33,Shrubland,"(np.float64(37.672342713281196), np.float64(22.46225904498871))",0.5842761795995718
863f2999fffffff,N4,Corridors_2022_within_1.0km,45,Shrubland,"(np.float64(37.66537935049069), np.float64(22.458707288119424))",48,Shrubland,"(np.float64(37.66484370719911), np.float64(22.460644610048124))",0.1809743594265921
863f2999fffffff,N4,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.67020651682074), np.float64(22.45999114828646))",48,Shrubland,"(np.float64(37.66484370719911), np.float64(22.460644610048124))",0.5980049329188387
863f2999fffffff,N4,Corridors_2022_within_1.0km,36,Shrubland,"(np.float64(37.67046796176068), np.float64(22.458492030127346))",45,Shrubland,"(np.float64(37.66537935049069), np.float64(22.458707288119424))",0.5651052102739845
863f2999fffffff,N4,Corridors_2022_within_1.0km,21,Shrubland,"(np.float64(37.684662508987486), np.float64(22.470331219691627))",23,Shrubland,"(np.float64(37.684394687341694), np.float64(22.471272973406965))",0.08822799247022185
863f2999fffffff,N4,Corridors_2022_within_1.0km,15,Shrubland,"(np.float64(37.690822406840624), np.float64(22.422301780209267))",16,Shrubland,"(np.float64(37.689780878218116), np.float64(22.42183837758743))",0.1226127639271138
863f2999fffffff,N4,Corridors_2022_within_1.0km,9,Grassland,"(np.float64(37.69350062329851), np.float64(22.42014920028849))",12,Grassland,"(np.float64(37.69216151506957), np.float64(22.425261577600335))",0.47476361326453453
863f2999fffffff,N4,Corridors_2022_within_1.0km,10,Grassland,"(np.float64(37.69323280165273), np.float64(22.419207446573147))",11,Grassland,"(np.float64(37.692268643727886), np.float64(22.423566420912724))",0.39906699461342776
863f2999fffffff,N4,Corridors_2022_within_1.0km,39,Shrubland,"(np.float64(37.668861031885946), np.float64(22.461720900008515))",47,Shrubland,"(np.float64(37.66462944988248), np.float64(22.456447079202608))",0.6611273062087097
863f2999fffffff,N4,Corridors_2022_within_1.0km,18,Grassland,"(np.float64(37.68600161721643), np.float64(22.41422960550635))",24,Shrubland,"(np.float64(37.68364478673349), np.float64(22.417485382636524))",0.38845966459047754
863f2999fffffff,N4,Corridors_2022_within_1.0km,28,Shrubland,"(np.float64(37.67421746480172), np.float64(22.456877595186764))",37,Shrubland,"(np.float64(37.66973145223476), np.float64(22.457886617024627))",0.5057987883184436
863f2999fffffff,N4,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.693768444944304), np.float64(22.419476519063245))",13,Shrubland,"(np.float64(37.691625871777994), np.float64(22.419745591553344))",0.23898683147876712
863f2999fffffff,N4,Corridors_2022_within_1.0km,16,Shrubland,"(np.float64(37.689780878218116), np.float64(22.42183837758743))",26,Shrubland,"(np.float64(37.683055579112754), np.float64(22.41624764918208))",0.8946271953573712
863f2999fffffff,N4,Corridors_2022_within_1.0km,43,Shrubland,"(np.float64(37.667521923657), np.float64(22.460151310482946))",44,Shrubland,"(np.float64(37.66589064635993), np.float64(22.456681906103057))",0.3556382660640551
863f2999fffffff,N4,Corridors_2022_within_1.0km,19,Grassland,"(np.float64(37.68573379557064), np.float64(22.471407509652014))",22,Grassland,"(np.float64(37.68420338616613), np.float64(22.468947418313984))",0.27557287749105713
863f2999fffffff,N4,Corridors_2022_within_1.0km,21,Shrubland,"(np.float64(37.684662508987486), np.float64(22.470331219691627))",25,Grassland,"(np.float64(37.68359122240433), np.float64(22.470139025055843))",0.1201051418573769
863f2999fffffff,N4,Corridors_2022_within_1.0km,32,Shrubland,"(np.float64(37.67220880245831), np.float64(22.45916471135259))",34,Shrubland,"(np.float64(37.67020651682074), np.float64(22.45999114828646))",0.2338889491294543
863f2999fffffff,N4,Corridors_2022_within_1.0km,10,Grassland,"(np.float64(37.69323280165273), np.float64(22.419207446573147))",13,Shrubland,"(np.float64(37.691625871777994), np.float64(22.419745591553344))",0.18456162426553055
863f2999fffffff,N4,Corridors_2022_within_1.0km,32,Shrubland,"(np.float64(37.67220880245831), np.float64(22.45916471135259))",43,Shrubland,"(np.float64(37.667521923657), np.float64(22.460151310482946))",0.5274297467709146
863f2999fffffff,N4,Corridors_2022_within_1.0km,28,Shrubland,"(np.float64(37.67421746480172), np.float64(22.456877595186764))",39,Shrubland,"(np.float64(37.668861031885946), np.float64(22.461720900008515))",0.7321345244250735
863f2999fffffff,N4,Corridors_2022_within_1.0km,17,Shrubland,"(np.float64(37.688947655320106), np.float64(22.411000735625183))",18,Grassland,"(np.float64(37.68600161721643), np.float64(22.41422960550635))",0.4336218821274593
863f2999fffffff,N4,Corridors_2022_within_1.0km,8,Shrubland,"(np.float64(37.693768444944304), np.float64(22.419476519063245))",15,Shrubland,"(np.float64(37.690822406840624), np.float64(22.422301780209267))",0.41110803876318935
863f2999fffffff,N4,Corridors_2022_within_1.0km,31,Shrubland,"(np.float64(37.672878356572774), np.float64(22.45714666767686))",35,Shrubland,"(np.float64(37.67113751587515), np.float64(22.4580884213922))",0.2103222735044798
863f2999fffffff,N4,Corridors_2022_within_1.0km,43,Shrubland,"(np.float64(37.667521923657), np.float64(22.460151310482946))",46,Shrubland,"(np.float64(37.6651115288449), np.float64(22.455532232736278))",0.4875020590814153
863f2999fffffff,N4,Corridors_2022_within_1.0km,34,Shrubland,"(np.float64(37.67020651682074), np.float64(22.45999114828646))",43,Shrubland,"(np.float64(37.667521923657), np.float64(22.460151310482946))",0.29829845500093866
863f2999fffffff,N4,Corridors_2022_within_1.0km,31,Shrubland,"(np.float64(37.672878356572774), np.float64(22.45714666767686))",44,Shrubland,"(np.float64(37.66589064635993), np.float64(22.456681906103057))",0.7766507255595537
863f2999fffffff,N4,Corridors_2022_within_1.0km,13,Shrubland,"(np.float64(37.691625871777994), np.float64(22.419745591553344))",14,Shrubland,"(np.float64(37.6913580501322), np.float64(22.419207446573147))",0.05600393801610753
863f2999fffffff,N4,Corridors_2022_within_1.0km,32,Shrubland,"(np.float64(37.67220880245831), np.float64(22.45916471135259))",36,Shrubland,"(np.float64(37.67046796176068), np.float64(22.458492030127346))",0.20212498464685782
863f2999fffffff,N4,Corridors_2022_within_1.0km,10,Grassland,"(np.float64(37.69323280165273), np.float64(22.419207446573147))",15,Shrubland,"(np.float64(37.690822406840624), np.float64(22.422301780209267))",0.3821726303763644
863f2999fffffff,N4,Corridors_2022_within_1.0km,32,Shrubland,"(np.float64(37.67220880245831), np.float64(22.45916471135259))",45,Shrubland,"(np.float64(37.66537935049069), np.float64(22.458707288119424))",0.7590759156004716
