H3_Index,Position,CanonicalName,QueriedName,GBIF_SpeciesKey,MatchedRank,Kingdom,Phylum,Class,Order,Family,Genus,In_GBIF,In_Natura,Invasive,GBIF_Total_Observations,REF_SPGROUP,ABUNDANCE_CATEGORY,LOWERBOUND,UPPERBOUND,COUNTING_UNIT,Natura_SiteCodes,Natura_SiteNames
863f29997ffffff,N3,Columba palumbus palumbus,Columba palumbus palumbus,9040795,SUBSPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,0,1,0,0,nan,C,,,nan,GR2510004,ORI ARTEMISIO KAI LYRKEIO
863f29997ffffff,N3,Malpolon insignitus,Malpolon insignitus,5959662,SPECIES,Animalia,Chordata,Squamata,,Psammophiidae,Malpolon,1,0,0,1,,,,,,,
863f29997ffffff,N3,Lindholmiola lens,Lindholmiola lens,4564364,SPECIES,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicodontidae,Lindholmiola,1,0,0,1,,,,,,,
863f29997ffffff,N3,Schoenoplectus lacustris,Schoenoplectus lacustris,2710941,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Schoenoplectus,1,0,0,1,,,,,,,
863f29997ffffff,N3,Bromus intermedius,Bromus intermedius,4128347,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,1,0,0,1,,,,,,,
863f29997ffffff,N3,Cynodon dactylon,Cynodon dactylon,6109637,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cynodon,1,0,0,1,,,,,,,
863f29997ffffff,N3,Hordeum bulbosum,Hordeum bulbosum,2706067,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,1,0,0,1,,,,,,,
863f29997ffffff,N3,Phleum subulatum,Phleum subulatum,2706003,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phleum,1,0,0,1,,,,,,,
863f29997ffffff,N3,Carduus pycnocephalus,Carduus pycnocephalus,3114667,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carduus,1,0,0,1,,,,,,,
863f29997ffffff,N3,Centaurea solstitialis,Centaurea solstitialis,3128888,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,1,0,0,1,,,,,,,
863f29997ffffff,N3,Cota altissima,Cota altissima,5390611,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cota,1,0,0,2,,,,,,,
863f29997ffffff,N3,Crepis setosa,Crepis setosa,4245384,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,1,0,0,1,,,,,,,
