H3_Index,Position,CanonicalName,QueriedName,GBIF_SpeciesKey,MatchedRank,Kingdom,Phylum,Class,Order,Family,Genus,In_GBIF,In_Natura,Invasive,GBIF_Total_Observations,REF_SPGROUP,ABUNDANCE_CATEGORY,LOWERBOUND,UPPERBOUND,COUNTING_UNIT,Natura_SiteCodes,Natura_SiteNames
863f299a7ffffff,N1,Chloris chloris,Chloris chloris,5845582.0,,,,,,,,1,0,0,4,,,,,,,
863f299a7ffffff,N1,Coronella austriaca,Coronella austriaca,,,,,,,,,0,1,0,0,nan,R,,,nan,GR2530002;GR2530004,LIMNI STYMFALIA;OROS OLIGYRTOS
863f299a7ffffff,N1,Aphaenogaster,"Aphaenogaster Mayr, 1853",1315863.0,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Aphaenogaster,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Aphaenogaster balcanica,Aphaenogaster balcanica,1315918.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Aphaenogaster,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Camponotus aethiops,Camponotus aethiops,1313104.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Camponotus laconicus,Camponotus laconicus,1312934.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Camponotus piceus,Camponotus piceus,1312835.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Leptothorax semiruber,Leptothorax semiruber,1324045.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Leptothorax,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Temnothorax laconicus,Temnothorax laconicus,11545039.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Tetramorium caespitum,Tetramorium caespitum,1323381.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Osmia hellados,Osmia hellados,9762019.0,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Catocala eutychea,Catocala eutychea,4532461.0,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Tuttiola spini,Tuttiola spini,1931179.0,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Tuttiola,1,0,0,2,,,,,,,
863f299a7ffffff,N1,Acontia trabealis,Acontia trabealis,5772063.0,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acontia,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Iphiclides podalirius,Iphiclides podalirius,1938214.0,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Iphiclides,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Palpares libelluloides,Palpares libelluloides,4423165.0,SPECIES,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Palpares,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Crocothemis erythraea,Crocothemis erythraea,1427721.0,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Crocothemis,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Sympetrum fonscolombii,Sympetrum fonscolombii,5791800.0,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,1,0,0,1,,,,,,,
863f299a7ffffff,N1,Poecilimon artedentatus,Poecilimon artedentatus,1688199.0,SPECIES,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Poecilimon,1,0,0,1,,,,,,,
