H3_Index,Position,CanonicalName,QueriedName,GBIF_SpeciesKey,MatchedRank,Kingdom,Phylum,Class,Order,Family,Genus,In_GBIF,In_Natura,Invasive,GBIF_Total_Observations,REF_SPGROUP,ABUNDANCE_CATEGORY,LOWERBOUND,UPPERBOUND,COUNTING_UNIT,Natura_SiteCodes,Natura_SiteNames
863f299afffffff,N6,Formicidae,Formicidae,4342,FAMILY,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,1,0,0,1,,,,,,,
863f299afffffff,N6,Camponotus,"Camponotus Mayr, 1861",1312361,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,1,0,0,1,,,,,,,
863f299afffffff,N6,Camponotus aethiops,Camponotus aethiops,1313104,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,1,0,0,1,,,,,,,
863f299afffffff,N6,Gyps fulvus,Gyps fulvus,2480389,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,1,0,0,1,,,,,,,
863f299afffffff,N6,Remiz pendulinus,Remiz pendulinus,2487385,SPECIES,Animalia,Chordata,Aves,Passeriformes,Remizidae,Remiz,1,0,0,1,,,,,,,
863f299afffffff,N6,Hellenolacerta graeca,Hellenolacerta graeca,5789567,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Hellenolacerta,1,0,0,1,,,,,,,
863f299afffffff,N6,Codringtonia intusplicata,Codringtonia intusplicata,4563887,SPECIES,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Codringtonia,1,0,0,1,,,,,,,
863f299afffffff,N6,Lagurus ovatus,Lagurus ovatus,5290177,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Lagurus,1,0,0,2,,,,,,,
863f299afffffff,N6,Melica ciliata,Melica ciliata,2703124,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Melica,1,0,0,1,,,,,,,
863f299afffffff,N6,Chondrilla juncea,Chondrilla juncea,8537667,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chondrilla,1,0,0,1,,,,,,,
863f299afffffff,N6,Anchusella cretica,Anchusella cretica,4065790,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Anchusella,1,0,0,1,,,,,,,
863f299afffffff,N6,Erysimum asperulum,Erysimum asperulum,3048109,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Erysimum,1,0,0,1,,,,,,,
863f299afffffff,N6,Sixalix maritima,Sixalix maritima,7774867,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Sixalix,1,0,0,1,,,,,,,
863f299afffffff,N6,Origanum vulgare,Origanum vulgare,2926612,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Origanum,1,0,0,1,,,,,,,
863f299afffffff,N6,Teucrium capitatum,Teucrium capitatum,7308670,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,1,0,0,1,,,,,,,
863f299afffffff,N6,Thymbra capitata,Thymbra capitata,5607804,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymbra,1,0,0,1,,,,,,,
863f299afffffff,N6,Hypericum empetrifolium,Hypericum empetrifolium,8411092,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,1,0,0,1,,,,,,,
863f299afffffff,N6,Convolvulus althaeoides,Convolvulus althaeoides,2928400,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,1,0,0,1,,,,,,,
