H3_Index,Position,CanonicalName,QueriedName,GBIF_SpeciesKey,MatchedRank,Kingdom,Phylum,Class,Order,Family,Genus,In_GBIF,In_Natura,Invasive,GBIF_Total_Observations,REF_SPGROUP,ABUNDANCE_CATEGORY,LOWERBOUND,UPPERBOUND,COUNTING_UNIT,Natura_SiteCodes,Natura_SiteNames
863f299b7ffffff,N2,Coronella austriaca,Coronella austriaca,,,,,,,,,0,1,0,0,nan,R,,,nan,GR2530004,OROS OLIGYRTOS
863f299b7ffffff,N2,Bufo bufo,Bufo bufo,5217160.0,SPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,0,1,0,0,nan,R,,,nan,GR2530004,OROS OLIGYRTOS
863f299b7ffffff,N2,Bufotes viridis,Bufotes viridis,9529916.0,SPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufotes,0,1,0,0,nan,R,,,nan,GR2530004,OROS OLIGYRTOS
863f299b7ffffff,N2,Rana graeca,Rana graeca,2426795.0,SPECIES,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,0,1,0,0,nan,C,,,nan,GR2530004,OROS OLIGYRTOS
863f299b7ffffff,N2,Circaetus gallicus,Circaetus gallicus,2480666.0,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,1,0,0,2,,,,,,,
863f299b7ffffff,N2,Aegithalos caudatus,Aegithalos caudatus,2495000.0,SPECIES,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,1,0,0,2,,,,,,,
863f299b7ffffff,N2,Emberiza cirlus,Emberiza cirlus,7626513.0,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,1,0,0,2,,,,,,,
863f299b7ffffff,N2,Cyanistes caeruleus,Cyanistes caeruleus,2487879.0,SPECIES,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,1,0,0,3,,,,,,,
863f299b7ffffff,N2,Parus major,Parus major,9705453.0,SPECIES,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,1,0,0,2,,,,,,,
863f299b7ffffff,N2,Curruca cantillans,Curruca cantillans,9317615.0,SPECIES,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Curruca,1,0,0,1,,,,,,,
863f299b7ffffff,N2,Canis aureus,Canis aureus,5219219.0,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,0,1,0,0,nan,P,,,nan,GR2530004,OROS OLIGYRTOS
